phrase,target
says Brian Burton  Head of IT Security  Vodafone UK,neutral
The bond  with a maturity of five years  is part of the bank s domestic bond program,neutral
Following the issue  the new shares will constitute 10 percent of the firm s capital,neutral
The mall is part of the Baltic Pearl development project in the city of St Petersburg  where Baltic Pearl CJSC  a subsidiary of Shanghai Foreign Joint Investment Company  is developing homes for 35000 people,neutral
M and a Master of Business Administration MBA,neutral
About 36  of this came from Aspo Chemicals  39  from Aspo Shipping and 25  from Aspo Systems,neutral
The deal is subject to approval by the Norwegian competition authorities,neutral
A paper mill in the central Maine town of Madison soon will have a new owner,neutral
The order also includes startup and commissioning services,neutral
Closing of such transaction took place today,neutral
The devices would be launched in the Chinese market in late 2006  the company said,neutral
May 29  2010  CompaniesandMarketscom delivered by Newstex   This report provides key data and information on the meat  fish and poultry market in Finland,neutral
The total project duration is three years and it is valued at some EUR11 5 m,neutral
Name of Company in which holdings have been acquired  Citycon Oyj 2,neutral
This organization will assume the responsibility for operations in Russia,neutral
One price category is for calls on the preferred operator s network  and another for calls on other operators  networks,neutral
The plant is expected to enter commercial operation by mid2009,neutral
The contract is worth some EUR 1 million,neutral
Insurance policies should be simple,neutral
The order is related to renewing the network of the telecommunications operator,neutral
The contract will take effect in 2009 for a five or ten year period,neutral
1830 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at wwwcityconcom,neutral
The duration of the contract is 37 months,neutral
In the third quarter of 2007  net sales totaled EUR 2595 mn  and operating profit EUR 388 mn,neutral
The market share of Volkswagen passenger cars in Finland was 101 percent  Audi had a market share of 31 percent and Seat s share was 09 percent,neutral
Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room  Aleksanterinkatu 17  the same day at 1230  130 pm Light lunch will be served,neutral
The new location is nt the only change Wellmont has in store for its air transport service,neutral
Marathon now has a 46 percent stake in PLX  it said  according to Bloomberg,neutral
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company s own shares,neutral
In accordance with the terms and conditions of Alma Media s 2006 option program  the share subscription price for the 2006A option rights was EUR 488 per share and the book countervalue EUR 060 per share,neutral
Of these shares 14747084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161256847,neutral
Exel s board of directors will propose a dividend of 02 euro  03 per share for 2006 at the annual general meeting on April 19  2007,neutral
The decision reflects the underutilisation of the line  which produces nonwovens used in medical and wipes applications as well as for the automotive industry,neutral
The product advisory does not apply to any other Nokiabranded battery  the company said,neutral
Oka specialises in new construction  renovation work of residential and nonresidential building as well as premises for industrial and logistical use,neutral
OlliPekka Laine has been appointed as the Chairman and Erkki PehuLehtonen as the Vice Chairman of the Board,neutral
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees,neutral
Alfa group will have 439  of voting stock in the new company and Telenor 354  with a free float of 207,neutral
According to Seikku  the retail sector in Finland is controlled by 34 large actors  while food manufacturers are still relatively small,neutral
Tekla Group s net sales for 2006 were approximately 50 million euros and operating result 136 million euros,neutral
The new B shares carry the right to dividend and other shareholder rights with effect from today,neutral
Rohwedder Group is an automotive supplies  telecommunications and electronics industry provider for customers in Europe  North America and Asia,neutral
Teleste s hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions  including HFC  hybrid fibrecoaxial   xDSL  EttH  and FttH,neutral
This release is not an offer of securities for sale into the United States or elsewhere,neutral
Pertti Ervi is independent from the Company and its major shareholders,neutral
Following the move  Stora Enso holding in NewPage will remain unchanged,neutral
The 2500passenger ferry will have dimensions of 185 m length overall  170 m length between perpendiculars  2770 m breadth and 655 m design draught,neutral
Outotec s scope of delivery covers the engineering  supply of special equipment and services for a calcination plant with two circulating fluid bed calciners,neutral
It is a member of the OneWorld alliance  which includes American Airlines and British Airways,neutral
Risk exposure by Nonlife Insurance  Moving 12month  Expenses by function in Nonlife Insurance excluding expenses for investment management and expenses for other services rendered Nonlife Insurance investment portfolio by allocatio,neutral
Sponda is a property investment company  specialising in commercial properties in the largest cities in Finland and Russia,neutral
Lemminkï½inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s,neutral
The contract includes software licences  application maintenance and training,neutral
The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila s factory at Khopoli  near Mumbai,neutral
At the request of Finnish media company Alma Media s newspapers  research manager Jari Kaivooja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland s national economy by using a model developed by the University of Denver,neutral
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January,neutral
The energy sector accounted for approximately 33  and the steel industry for about 57  of the transportation volume,neutral
Swedish  Finnish and Danish listed companies are organized in three market cap segments  Nordic Large Cap  Mid Cap and Small Cap,neutral
Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand,neutral
Changes being announced today will be effective after the close of trading on Friday  June 19  2009,neutral
According to CapMan Plc s Corporate Governance  the majority of the committees  members shall be independent of the Company,neutral
The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood,neutral
A replay will be available until 27 October 2006 in the following numbers  US callers  1 617ï½801ï½6888  nonUS callers  44 20 7365 8427  access code  2659 5401,neutral
Finnish bank Pohjola Bank Plc HEL  POH1S said today that it will issue a EUR 40 million USD 512 m indexlinked bond  Pohjola Tutkimuksen Tahdet VIII2010 Pohjola Research Stars VIII2010  on October 27  2010,neutral
The contract covers the supply of temporary heating equipment for LKAB s new pellet plant in Kiruna  in northern Sweden,neutral
Yvonne Jones is owner of Chameleon Interiors,neutral
The building will house  for example  Respecta Oy s Jyvaskyla premises  as well as other companies to be announced later  says Samuel Koivisto  Director of Technopolis operations in Jyvaskyla,neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007,neutral
Financial Statements include the consolidated financial statements of the Group  the Board of Directors  Report  the Auditors  Report and the Corporate Governance Statement,neutral
For 2009  net profit was EUR 3 million and the company paid a dividend of EUR 130 apiece,neutral
According to the company  a decision in the issue will be made in the summer of 2010  at the earliest  and in the summer of 2011  at the latest,neutral
NViro operates processing facilities independently as well as in partnership with municipalities,neutral
The Board established a Remuneration Committee with following members   Sari Baldauf Chairman  Tapio Hintikka  Heikki Westerlund In addition  the Board decided to appoint a Nomination Committee at a later stage,neutral
The deal will have no significant effect on the acquiring company s equity ratio,neutral
no compensation for its news  opinions or distributions,neutral
The money will be spread mainly over 2011 and 2012  the company said,neutral
Two other sites will be included later on,neutral
The order was worth EUR 8mn,neutral
The broker started UPMKymmene  Stora Enso and Sappi with  equalweight  recommendations and Holmen and Norske Skog with  underweight  ratings,neutral
The Company serves approximately 3000 customers in over 100 countries,neutral
The purchase price was not disclosed,neutral
The shares shall be repurchased through public trading  for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders,neutral
The combined value of the orders is almost EUR 3mn,neutral
The biggest sellers in the chain s supermarkets in Finland are organic Pirkka tomatoes  carrots  eggs  and meat products,neutral
The order comprises all production lines for a plywood mill  company said in a statement received by Lesprom Network,neutral
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations,neutral
The financial statements release will be available after publishing on the Company s internet pages at wwwcargoteccom,neutral
at 900 EET Alma Media s Annual Report for 2009 is scheduled to be published in calendar week 9,neutral
The writing and publication of Lemminkï½inen ï½ s history is a continuation of earlier collaboration between Antti Tuuri and the company,neutral
Also the development of online businesses will continue,neutral
The contract value amounts to EUR 24 million,neutral
The sales price was not disclosed,neutral
An earnout payment of up to 40 mln euro   53 mln  can also be paid depending on Intellibis financial performance in 2007,neutral
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version  QPR ProcessGuide Xpress,neutral
The transaction is subject to a final agreement between the parties  approvals of their decisionmaking bodies and approval by the Finnish Competition Authority,neutral
Arto Ryymin  born 1964  will replace Juhani Kaisanlahti who has worked as acting EVP  Healthcare  Welfare since August 2007,neutral
The start of the negotiations  relating to Glaston s efficiency program  was announced in October,neutral
According to Gallup Food and Farm Facts  beef consumption totaled 99mn kilos in Finland in 2007,neutral
In the first quarter of 2008  Sacanfil s net sales totalled EUR 500 mn and its operating profit EUR 47 mn,neutral
A Le Coq Special was developed for the bicentenary of the company and the trade mark  the brewer said,neutral
No planned closing date was provided,neutral
Rental of building equipment accounted for 88 percent of the operating income,neutral
Componenta is a metal sector company with international operations and production plants located in Finland  the Netherlands  Sweden and Turkey,neutral
561470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan,neutral
The Group s turnover in 2006 was EUR 392 million  and operating profit was EUR 39 million,neutral
Decisions are to be made as quickly as possible,neutral
The first group of customers to be trained will be paintshop owners and their assistants,neutral
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011,neutral
The company said that the operations will be sold to a newly established company  CPS GmbH  where the present management of the plastics business is a coowner,neutral
The company s transportation business is conducted through Florida Rock  Tank Lines  which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities,neutral
The agreement includes application maintenance and support services,neutral
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News,neutral
The report will be emailed within 2 business days of an order,neutral
The bank VTB24 provides mortgage loans to buy apartments in the complex at 1113  per annum in rubles,neutral
In 2008  AVC Systemhaus had net sales of EUR 10 million USD 71 m,neutral
The maximum grade of the veneer yield is calculated  based on the dimensions and grades of the veneer products  as well as by iterating the places of the peeling axes and simulating the peeling process,neutral
About Dopplr Dopplr is a service for smart travellers,neutral
Pharmaceutical market in Poland Global Research  Data Services published recently a market analysis about the pharmaceutical markets in Poland,neutral
The idea of saving electricity in data transfer is still a new one,neutral
In his current position  Manty has worked since 1996,neutral
They want my credit card info and my personal details,neutral
The WebMarela application handles invitations to quote  quote comparisons  agreements  purchases  invoice inspections  inventory management  and deliveries,neutral
The floor area of the Yliopistonrinne project will be 7900 sq m and the building s gross area will total 12800 sq m A total 251  of the facilities have been let,neutral
Finnish Kemira Group s CEO  Lasse Kurkilahti  says the Group s structural reorganisation will continue for at least a year,neutral
The value of the orders is over EUR 10mn,neutral
Finnish printed circuit boards  PCBs  maker Aspocomp Group Oyj said on December 4  2006 it named Henry Gilchrist senior vice president of the group s Asian operations  as of January 8  2007,neutral
The Whitehall Street Real Estate Funds invest in real estate and real estate related assets  principally through the acquisition of real estate companies  real property and mortgage loans,neutral
At endAugust  Sampo was Nordea s biggest shareholder with a 206  stake  followed by the state with 199,neutral
Incap  headquartered in Oulu  Finland  is a electronics contract manufacturer with some 750 employees in Finland  Estonia and India,neutral
The order is included in Metso s fourth quarter 2007 order backlog,neutral
From 2003 on  the emphasis of Kyro s strategy has been on Glaston s growth,neutral
The fair value of CapMan Plc s own investments on 30 September 2008 amounted to MEUR 598,neutral
The turbines are expected to be launched by the end of 2012,neutral
Cohen  Steers  Inc  5 534 530 shares representing 4985  of the share capital and voting rights,neutral
The Inventors are Ridge Justin  Bao Yiliang and Karczewicz Marta,neutral
Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan  China and is one of Elcoteq s four volume manufacturing plants in the AsiaPacific region,neutral
The value of the order is EUR 25 mn,neutral
Combined net sales in 2006 were  27 million and EBITDA was  137 million,neutral
Name of Applicant  Jot Automation OYName of Inventor  Mammila Tuomo  Piirainen Mika and Kellokoski MikaApplication No  2424KOLNP2008 ADate of filing of Application  16062008Publication Date  3001200,neutral
Negotiations with representatives of the personnel regarding the restructuring process have now been ended,neutral
In 2006  452 million tonnes CO2 of EUA  EU Allowance  emissions credit in EU  was traded with an underlying market value approx,neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology,neutral
The talks involved the Food and Ingredients Divisions  as well as group service functions  the company said,neutral
All depends on financing,neutral
In addition to the Tulikivi Corporation  he is also currently a member of the Board of the following companies  Altia Corporation  Jï½rviSuomen Portti Osuuskunta  Osuuskunta KPY  Profile Vehicles Oy and Voimatel Oy,neutral
Utah s capital wanted to be the next US headquarters of Amer Sports Corp  a skiequipment company,neutral
Work on the assignment has already started and is due for completion in spring 2011,neutral
Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round  Kuula says,neutral
The transaction value is CAD 15 million approximately EUR 10 million,neutral
The expanded plant is scheduled to be operational by the middle of October 2009,neutral
The solid fuel is heated before sludge is mixed therein,neutral
Mursula said they tried to gather macroeconomic perspective to see how Malaysia was doing,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion,neutral
The estimated value of the deal is USD 92 million,neutral
The phones are targeted at first time users in growth markets,neutral
Serving customers locally is one of the cornerstones of customer focus for us,neutral
The issuer is solely responsible for the content of this announcement,neutral
Currently Glaston employs approximately 1500 persons,neutral
These sections will be put into place to form the loadbearing steel structure of the bridge   says Sami Eronen  Senior Vice President  Infrastructure and Northern Europe  Ruukki Construction,neutral
Printed fabrics and related design expertise have always been the core of Marimekko s business and brand,neutral
The company then said it will focus its resources on clinical research,neutral
The order consists of outsourced application management  support and planning for Tecnotree and thirdparty applications,neutral
After the split  the company would have 26885540 Series A shares and 9540000 Series K shares,neutral
Cablevision Systems Corp CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team  they also own the Madison Square Garden Arena  the New York Rangers hockey team  the New York Liberty women s basketball team  and the Hartford Wolf Pack hockey team,neutral
The contracts between Raute Corporation and Muling Kemian Wood Products Co  Ltd  which were announced on 3 November 2010  have taken effect,neutral
The business area s net sales were slightly over 2m in 2006,neutral
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China,neutral
Kemira  headquartered in Helsinki  Finland  is an international chemicals group comprising the business areas Kemira Pulp  Paper  Kemira Water  Kemira Specialty and Kemira Coatings,neutral
The project also implies an underground parking lot for 56 vehicles,neutral
The business is organised  as of February 1  2011  in a way that production of design services is combined into one entity  Etteplan Operations,neutral
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index,neutral
Panostaja did not disclose the purchase price,neutral
The utility will also provide services related to electricity management  such as hedging trades and risk management and reporting,neutral
As an alternative to the share exchange  Panostaja offers a full cash consideration at the value of 127 euro  17 per share,neutral
The new majority owners of Aspocomp Thailand Co  Ltd are certain private persons belonging to immediate circle of Aspocomp s present Joint Venture partner  Saha Pathana InterHolding Plc,neutral
Trading in the new shares  which have right to dividends and other distributions of funds  will start on the exchange in Helsinki tomorrow,neutral
Most of the raw materials come from Europe and the US and are paid in euros or US dollars  while sales take place in rubles,neutral
BasWare is headquartered in Espoo  Finland,neutral
The company is also seeking possibilities to relocate the Luumaki personnel  some 50 people  to other UPM mills,neutral
The value of the orders is about EUR 70mn,neutral
Stockholmbased Nordea Bank  STO  NDA  said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit  effective 1 September,neutral
The contract is for next year,neutral
The latest result included pershare charges of 5 cents for stock compensation  1 cent for research and development and 1 cent for strategic investments,neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US 2253 mn EUR 1535 mn in 2007,neutral
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore,neutral
With this  the company will exit the contract manufacturing service segment,neutral
N 1 Group will pay EUR16 5 m of the transaction price upon closing  and the remaining sum in 2012,neutral
The fish content of the nuggets is 85   and the fish comes from Canada and Finland,neutral
Grounds for the notification  Tiimari Plc 12302010 issued Capital Convertible Loan allocation decision by the Board on 01312011,neutral
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities,neutral
Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry  as well as products used in environmental protection,neutral
The transaction is expected to be completed next spring,neutral
The hosting mobile terminal guides information flow between itself  the participating terminals  and optionally  with network servers that may assist the hosting mobile terminal,neutral
Castecka said the town hall would hold talks with other investors interested in the zone,neutral
The reductions will be implemented immediately  beginning in October 2009,neutral
Construction work on the Helsinki Music Centre is to start this autumn  with the total cost of the project estimated at 140 million euros,neutral
The value of this kind of order amounts usually between Euro 2 and 3 million,neutral
In the meantime the CEO s duties will be assumed by Outotec s Deputy CEO Seppo Rantakari,neutral
Shortterm licenses for the games cost as little as  3 while purchasing a game outright can cost as much as  10 or  15,neutral
The contract includes heating plant equipment and associated installation work,neutral
By the end of 2006  the number of joint branch offices will total 170,neutral
The value of the contract is in total USD12m,neutral
We know that it exists   Artemyev said,neutral
Mr Mikko Saavalainen  head of Comptel s Global Sales concludes   Gibtelecom provides a perfect illustration of the variety of business  technical and regulatory challenges operators are facing in their OSS today,neutral
The platform would continue to be the development framework for Symbian and MeeGo,neutral
In addition to its stake in MegaFon  Telecominvest currently owns 100  of shares in Web Plus and St Petersburg Payphones  51  in telecom equipment producer PeterServis and a number of other minor assets,neutral
Tikkurila  a division of Kemira group  controls about 23  of the Russian market in its field and owns St Petersburg paint producer TEX,neutral
Cargotec will also move HallbergIvarsson s service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg,neutral
The Company turnover amounted to MEUR 279 in 2007,neutral
Based on the 2005 calendar year the combined company had EUR15 8 bn in pro forma annual revenues and is expected to start operations with 60000 employees,neutral
The Committee proposes the following remuneration  a monthly remuneration of EUR 5000 for the Chairman  EUR 3500 for the Deputy Chairman  and EUR 2500 for the other Board members,neutral
You need to be ready when the window opens up  Rosberg said,neutral
The scheme for TeliaSonera and Altimo is practically identical  except that it involves the merger of their stakes in VimpelCom and Kyivstar,neutral
The purchase sum is about EUR 10mn US 1297 mn,neutral
The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined  owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates,neutral
The reorganisation will be carried out by transferring HKScan Corporation s productionrelated property  plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy  a holding company wholly owned by HKScan Corporation,neutral
The share capital of Alma Media Corporation business ID 19447574 is EUR 4476751380 and it is divided into 74612523 shares,neutral
The maximum amount of the capital loan will be EUR30m and the minimum subscription  EUR10 000,neutral
Poyry is a global consulting and engineering firm focusing on the energy  forest industry and infrastructure  environment sectors,neutral
The E7 smartphone will be available for Rs35 000 per handset across India   Nokia India vicepresident  managing director D Shivakumar told reporters,neutral
SDM offers general rental equipment  aluminium scaffolding  power generator and hoists to customers in the construction sector,neutral
A data processing unit collects the data  calculates RVR values and provides the data to users via various interfaces,neutral
Maggie Ramsey s wait  and those of thousands of Oregon and Washington guides  anglers and others who flock to his frequent seminars  is nearly over,neutral
The company had net sales of EUR 198 mn and a pretax profit of EUR 18 mn in 2005,neutral
The connectivity unit has more than 100 einvoice customers  and the number of annual transactions stands at nearly one million,neutral
Typical enduses include roof structures  floorings  walls and ceilings  nonvisible structures in vehicles  packaging and boxes  construction site structures  fencing and shelters  and formwork with a limited number of concrete pourings,neutral
Nordea Bank AB publ holds 6000 Alma Media shares  representing 0008  of share capital and voting rights,neutral
Russia s Video International Group holds a controlling stake in Russian Media Ventures,neutral
The parties have therefore agreed to leave Avena out of the deal,neutral
Veidekke  headquartered in Oslo  Norway  is a Scandinavian construction and property development group with some 6350 employees in Norway  Sweden and Denmark  with an annual turnover of NOK16 4 bn,neutral
These developments partly reflect the government s higher activity in the field of dividend policy,neutral
At first  Solteq s services to companies operating in the St Petersburg area will include maintenance and material management systems and data collection solutions,neutral
Jeder BetaTester erhï½lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die Mï½glichkeit  die finale Version zu beeinflussen,neutral
RAPALA TOURNAMENT FISHING  With all the major titles already out for the holidays  bargainpriced games such as Rapala aim for a smaller audience,neutral
CapMan s first real estate fund  which had a total investment capacity of  EURO  500 million and closed in June 2005  invested in commercial properties in the Helsinki metropolitan area,neutral
The Group owns and operates a fleet of more than 800dwt  while container capacity is 17000 TEUs  and manages a diversified fleet of its own railway rolling stock of over 17000 units,neutral
Ms Laakso will be responsible for HKScan s HR functions and for their development in all of the Group  smarket areas,neutral
The Annual Report contains the financial statements  the consolidated financial statements  the report by the Board of Directors and the auditor s report,neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland s laws,neutral
Each share is entitled to one vote,neutral
The original patent was filed in Finland under application No,neutral
Most of the dividend will go to the Grimaldi family,neutral
The company will disclose further details  including the anticipated transaction timetable and the name of the new investor  within one week,neutral
As part of the transaction  the ï½ï½nekoski paper mill remained in Mreal s ownership and continued Galerie Art production for Sappi under a longterm contract,neutral
The company has 120 employees and annual sales of approximately EUR16m,neutral
The business units of the InvestLesProm Group cover the full forest industry chain  and the Group owns forests  sawmills  paper and pulp mills  and other processing plants,neutral
Also  a sixyear historic analysis is provided for this market,neutral
LT is operative in Finland  Sweden  Latvia  Russia and Norway,neutral
Tekla s defense business employs over 20 persons and is located in Espoo  Finland,neutral
The value of the orders is about EUR 25mn,neutral
Completion of the transaction is subject to a final agreement and a Due Diligence process,neutral
Eero Katajavuori  currently Group Vice President  Human Resources  will take a yearlong sabbatical starting from October 1  2010,neutral
The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp  northern Belgium,neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012,neutral
Directors and shareholders alike should ask why these practices were allowed to continue,neutral
The price will be specified at the completion date,neutral
Glaston s own glass processing unit  Tamglass Glass Processing  is a manufacturer of high quality safety glass products operating in Finland,neutral
The gross area of eight houses will be 12167 m2,neutral
Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 am A telephone conference for financial analysts and investors  conducted in English  will begin at 300 pm Finnish time  EET,neutral
Cargotec s sales totalled EUR 34 billion in 2008 and it employs approximately 11000 people,neutral
A total 30  of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010,neutral
Previously  Grimaldi held a 4643 pct stake in the Finnish company following the takeover bid launched in November 2006,neutral
Nokia Siemens Networks provides mobile and fixed network infrastructure  communications and networks service platforms  as well as professional services  to operators and service providers,neutral
In July it and Quadriga Capital sold their Lewa GmbH pumpmaking business to Japan s Nikkiso Co,neutral
Mr Ashley  deputy executive chairman of Sports Direct  sold a 43pc stake in the company for more than pounds 900m at the time of the float,neutral
Electronic versions require 2448 hours as each copy is customized to the client with digital controls and custom watermarks,neutral
The negotiations will concern the plant s department producing winded roving that employs 10 people,neutral
SSH Communications Security Corporation is headquartered in Helsinki  Finland,neutral
The agreement includes the entire process of managing Mercator s supply chain in all regions where the company is currently present,neutral
The shops are located in the capital region and the PaijatHame region,neutral
All YIT Capital Markets Day materials will be available on the company s Internet site at wwwyitgroupcominvestors at 1030 on September 26,neutral
The value of the deal has not been disclosed,neutral
Los Angelesbased Pacific Office Properties Trust acquires  owns  and operates office properties in the western US  focusing initially on the markets of Honolulu  San Diego  Los Angeles  and Phoenix,neutral
It is expected to be online by 2011,neutral
After nonrecurring items of EUR 177mn  profit amounted to EUR 20mn,neutral
The sale will be finalized in September or October  the company said,neutral
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services,neutral
In 2010  Sanoma Magazines expects net sales to be at the 2009 level,neutral
Seventythree of those also have more extensive training in products built on the latest ArchestrA technologies  such as the Wonderware System Platform,neutral
Nokia and Capcom announced that Resident Evil Degeneration will be released on NGage later this year,neutral
The company s set of services include digital printing  printing preparation  offsetprinting  aftertreatment services and send out services,neutral
The sellers were EOSS Innovationsmanagement and a group of private individuals,neutral
Our customers come from the following countries  UK  USA  Spain  France  Italy  Germany  China  Hong Kong  Sweden  Norway  Netherlands  Austria  Belgium  Switzerland  Czech Republic  Finland  Canada  Russia  Ukraine  Denmark  Ireland  South Korea and Liechtenstein,neutral
He will report to CapMan Plc s CEO Heikki Westerlund,neutral
The original contract was signed last summer,neutral
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed,neutral
No financial details of the deployment were disclosed,neutral
The first phase of the logistics complex envisages the completion of some 70000 sq m of logistics premises and the gatehouse building in November 2008,neutral
Changes to the asbuilt models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process,neutral
Panostaja owns a 6877 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30  2007,neutral
The board machine  which will have a wire width of 625 m and a design speed of 900 mmin  will produce close to 1400 tonnes of folding boxboard per day,neutral
Nordea s definitely too big for Sampo to acquire   said an analyst  But Sampo would appear to have an agenda for Nordea ahead of the privatisation,neutral
Latvia s Stockmann shopping mall is a subsidiary of Finland s Stockmann Plc,neutral
He wore a black beanietype cap and a black jacket,neutral
The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen  and means are provided to exert and maintain a pressure in the volume defined by the platen  the band and the seal,neutral
The company operates its business through two reportable segments  including Banking and Investment Services  and NonLife Insurance,neutral
Our customers include companies in the energy and process industry sectors  in particular,neutral
The divested stake represented about 27 m shares in Okmetic s capital,neutral
Established in 1987  the SRV Group is a private Finnish construction concern with operations in Finland  the Baltic countries and Russia,neutral
The deal means that ten persons in three countries will transfer to Tieto,neutral
On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups  how much energy various products contain and what is the nutritional content of all purchases,neutral
In the Czech Republic  the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki s bigger plants in Hungary  Poland and Romania by the end of the first quarter of 2009,neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers  business result,neutral
Thus the group s balance sheet will have about EUR 258 million of goodwill  the company added,neutral
Fortum had previously bought the stateheld stake in TGK10 from RAO UES during its reform,neutral
The company is listed on the Nordic Exchange in Helsinki,neutral
The total donation amount is EUR 1115000,neutral
The divested company is part of TietoEnator s business area Government  Manufacturing  Retail,neutral
The value of the order is EUR 700000,neutral
The portfolio comprises of 118000 m2 of leasable space with a vacancy rate of roughly 5   let to around 140 tenants of which two of the largest are the Swedish government and Ericsson,neutral
COMPTEL CORPORATION Sami Ervio President and CEO Distribution  NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively,neutral
The segments through which the company operates are Frozen Food business  Seafoods  Vegetable Oil business  Grain Trading and Other business operations,neutral
Among the Scandinavian companies present in St Petersburg  is also named the Swedish concern NCC  which implements projects in the field of asphalt production  road and housing construction  project Swedish Krona,neutral
It was decided that the auditors are reimbursed according to invoice,neutral
In 2008  the steel industry accounted for 64 percent of the cargo volumes transported  whereas the energy industry accounted for 28 percent and other industries for 8 percent,neutral
Cencorp would focus on the development  manufacture and marketing of standard products for production automation,neutral
Motorola accounted for 115 percent of the South Korean handset market as of the end of April  Samsung held 55 percent and LG Electronics 19 percent  according to Koreabased ATLAS Research Group,neutral
STOCKMANN plc COMPANY ANNOUNCEMENT February 20  2007  at 1340 An annual summary of Stockmann s stock exchange and financial press releases in 2006 is available on the company s website at the address wwwstockmanncom,neutral
It will be operated by Nokia  and supported by its Nokia NetAct network and service management system,neutral
The store is located in Poznan in a shopping center named Pestka  the company added,neutral
The output of the contracts totals 72 MWe,neutral
It has80 branches in Finland with annual revenue in Finland of,neutral
The inventors are Mukkavilli Krishna Kiran  Sabharwal Ashutosh and Aazhang Behnaam,neutral
No other ev3 devices were involved in this action,neutral
Rubin says he expects Capman to announce 12 additional transactions in 2009,neutral
However  the offering will probably not be made at the current valuation  which partly derives from the deal in which the company was merged into a stock market shell,neutral
The acquisition price was not disclosed,neutral
Tiimari operates 194 stores in six countries  including its core Finnish market  and generated a turnover of 765 mln eur in 2005,neutral
The Stena Poseidon is a socalled Panamax tanker  designed to be able to pass through the narrow passages in the Panama Canal s locks,neutral
